,date,totalSnow,snowDays,baseDepth,summitDepth,maxBaseDepth,biggestSnowfall,time_period,title,region,slug
0,2012-01-01,259.08000000000004,16,36.04665,55.573473502304154,91.44,45.72,Annual,Bear Mountain,california,bear-mountain
1,2013-01-01,96.52,8,15.859637500000002,33.124614055299546,30.48,25.4,Annual,Bear Mountain,california,bear-mountain
2,2014-01-01,129.54,10,17.3450375,35.654074074074074,45.72,27.94,Annual,Bear Mountain,california,bear-mountain
3,2015-01-01,205.74,16,41.37285,61.25441500256018,101.6,45.72,Annual,Bear Mountain,california,bear-mountain
4,2016-01-01,441.96,19,47.78165,65.21911207311209,116.84,60.96,Annual,Bear Mountain,california,bear-mountain
5,2017-01-01,91.44,10,36.604675,50.856653076463566,91.44,20.32,Annual,Bear Mountain,california,bear-mountain
6,2018-01-01,337.82,19,55.720775,80.48574434623349,111.76,45.72,Annual,Bear Mountain,california,bear-mountain
7,2019-01-01,200.66000000000003,13,50.370425,59.53401086956522,101.6,45.72,Annual,Bear Mountain,california,bear-mountain
8,2020-01-01,279.4,15,59.5220125,77.89745063365754,116.84,71.12,Annual,Bear Mountain,california,bear-mountain
9,2021-01-01,223.52,13,47.0986875,66.14754032258065,147.32,33.02,Annual,Bear Mountain,california,bear-mountain
10,2022-01-01,579.12,25,122.34926666666667,163.01054018165743,254.0,76.2,Annual,Bear Mountain,california,bear-mountain
0,2012-01-01,259.08000000000004,16,36.04665,55.573473502304154,91.44,45.72,Annual,Bear Valley,california,bear-valley
1,2013-01-01,96.52,8,15.859637500000002,33.124614055299546,30.48,25.4,Annual,Bear Valley,california,bear-valley
2,2014-01-01,129.54,10,17.3450375,35.654074074074074,45.72,27.94,Annual,Bear Valley,california,bear-valley
3,2015-01-01,205.74,16,41.37285,61.25441500256018,101.6,45.72,Annual,Bear Valley,california,bear-valley
4,2016-01-01,441.96,19,47.78165,65.21911207311209,116.84,60.96,Annual,Bear Valley,california,bear-valley
5,2017-01-01,91.44,10,36.604675,50.856653076463566,91.44,20.32,Annual,Bear Valley,california,bear-valley
6,2018-01-01,337.82,19,55.720775,80.48574434623349,111.76,45.72,Annual,Bear Valley,california,bear-valley
7,2019-01-01,200.66000000000003,13,50.370425,59.53401086956522,101.6,45.72,Annual,Bear Valley,california,bear-valley
8,2020-01-01,279.4,15,59.5220125,77.89745063365754,116.84,71.12,Annual,Bear Valley,california,bear-valley
9,2021-01-01,223.52,13,47.0986875,66.14754032258065,147.32,33.02,Annual,Bear Valley,california,bear-valley
10,2022-01-01,579.12,25,122.34926666666667,163.01054018165743,254.0,76.2,Annual,Bear Valley,california,bear-valley
0,2012-01-01,259.08000000000004,16,36.04665,55.573473502304154,91.44,45.72,Annual,Boreal Mountain Resort,california,boreal
1,2013-01-01,96.52,8,15.859637500000002,33.124614055299546,30.48,25.4,Annual,Boreal Mountain Resort,california,boreal
2,2014-01-01,129.54,10,17.3450375,35.654074074074074,45.72,27.94,Annual,Boreal Mountain Resort,california,boreal
3,2015-01-01,205.74,16,41.37285,61.25441500256018,101.6,45.72,Annual,Boreal Mountain Resort,california,boreal
4,2016-01-01,441.96,19,47.78165,65.21911207311209,116.84,60.96,Annual,Boreal Mountain Resort,california,boreal
5,2017-01-01,91.44,10,36.604675,50.856653076463566,91.44,20.32,Annual,Boreal Mountain Resort,california,boreal
6,2018-01-01,337.82,19,55.720775,80.48574434623349,111.76,45.72,Annual,Boreal Mountain Resort,california,boreal
7,2019-01-01,200.66000000000003,13,50.370425,59.53401086956522,101.6,45.72,Annual,Boreal Mountain Resort,california,boreal
8,2020-01-01,279.4,15,59.5220125,77.89745063365754,116.84,71.12,Annual,Boreal Mountain Resort,california,boreal
9,2021-01-01,223.52,13,47.0986875,66.14754032258065,147.32,33.02,Annual,Boreal Mountain Resort,california,boreal
10,2022-01-01,579.12,25,122.34926666666667,163.01054018165743,254.0,76.2,Annual,Boreal Mountain Resort,california,boreal
0,2012-01-01,259.08000000000004,16,36.04665,55.573473502304154,91.44,45.72,Annual,Dodge Ridge,california,dodge-ridge
1,2013-01-01,96.52,8,15.859637500000002,33.124614055299546,30.48,25.4,Annual,Dodge Ridge,california,dodge-ridge
